Pod Memory Report

Namespace,Pod Name,Memory Request,Memory Limit,Avg Memory Usage,Suggested Request,90%tile Memory Usage,90%tile Memory Usage,Max Memory Usage
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-qx5sm,0,inf,422711430.295082,432452236.911789,445652992.0,445652992.0,445652992
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-xfkld,0,inf,414709592.13114756,420779276.7686571,430501888.0,430501888.0,430501888
ingress-nginx-office,nginx-ingress-office-controller-5b88dbd756-7xx4t,0,inf,263106022.81967214,264653078.1834693,264994816.0,264994816.0,264994816
ingress-nginx-office,nginx-ingress-office-controller-5b88dbd756-zbrh9,0,inf,258290268.32786885,260162241.58029178,261693440.0,261693440.0,261693440
kube-system,ebs-csi-node-ntjw2,1610612736,inf,55233418.49180328,55379587.22539049,55582720.0,55582720.0,55582720
kube-system,kube-proxy-mm492,0,inf,49463296.0,49733813.98319126,50151424.0,50151424.0,50151424
ingress-nginx-crossenv,nginx-ingress-crossenv-controller-5d9b4dc74-h69kr,0,inf,333718444.06557375,338753749.69880164,342241280.0,342241280.0,342241280
ingress-nginx-external,nginx-ingress-external-controller-59b466bb54-d77tq,0,inf,395184900.1967213,397048428.28459114,400019456.0,400019456.0,400019456
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-kwktk,0,inf,423086113.57377046,431197249.7979846,435916800.0,448819200.0,448819200
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-qkgsn,0,inf,413736154.2295082,420061604.7803138,425484288.0,425484288.0,425484288
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-szqsm,0,inf,417889901.1147541,423703368.6332134,426881024.0,427606016.0,427606016
ingress-nginx-office,nginx-ingress-office-controller-5b88dbd756-zgtzx,0,inf,258184712.39344263,259920494.41410118,260972544.0,261033984.0,261033984
kube-system,aws-node-p6bnd,0,inf,402740207.21311474,403207796.10082006,403443712.0,403542016.0,403542016
kube-system,ebs-csi-controller-55b9574fb-qnqpx,3221225472,inf,120822730.10526316,145421060.44855422,130326937.6,130418360.32,130441216
kube-system,ebs-csi-controller-55b9574fb-w5b5d,3221225472,inf,130017818.94736843,166825588.4032268,148430848.0,148430848.0,148430848
kube-system,ebs-csi-controller-55b9574fb-xs5f6,3221225472,inf,128365621.89473684,158887245.12249818,140419072.0,140419072.0,140419072
kube-system,ebs-csi-node-czjkf,1610612736,inf,54184842.49180328,54373090.91336042,54738944.0,54738944.0,54738944
kube-system,kube-proxy-mhqpp,0,inf,50315196.85245901,50579837.22403182,50814976.0,50909184.0,50909184
lacework,lacework-agent-k2xvv,3040870400,inf,1430332197.7704918,1435042721.2317924,1439195136.0,1439195136.0,1439195136
monitoring,filebeat-7mlzd,3600000000,inf,531762394.2295082,696422004.6709857,736317440.0,984305664.0,984305664
monitoring,prometheus-node-exporter-jbprf,125829120,inf,38299815.86885246,38309554.068164915,38313984.0,38313984.0,38313984
kube-system,aws-node-2wfh7,0,inf,529664100.72131145,530104234.68332183,530395136.0,530634342.4,530993152
kube-system,ebs-csi-controller-55b9574fb-8p5x8,3221225472,inf,188119332.57142857,214088459.38130045,196620288.0,196620288.0,196620288
kube-system,ebs-csi-controller-55b9574fb-hpwgn,3221225472,inf,161921160.53333333,206923972.0452748,177426432.0,177426432.0,177426432
kube-system,ebs-csi-node-gh25l,1610612736,inf,99804143.21311475,100103736.66323169,100245504.0,100245504.0,100245504
lacework,lacework-agent-9mhm8,3040870400,inf,627658080.5245901,634861801.1779548,634257408.0,634257408.0,634257408
monitoring,filebeat-zpn9s,3600000000,inf,542637475.6721312,590828103.4559239,595435520.0,600544051.1999999,608206848
monitoring,prometheus-alertmanager-567754bfd4-7fw6h,134217728,inf,55615488.0,55615488.0,55615488.0,55615488.0,55615488
monitoring,prometheus-pushgateway-68dd75d85b-xrg8c,419430400,inf,69771264.0,69771264.0,69771264.0,69771264.0,69771264
monitoring,prometheus-server-0,450971566080,inf,116829599643.27869,117013740138.90872,117111214080.0,117128182988.8,117153636352
monitoring,prometheus-thanos-compactor-0,21474836480,inf,1405277301.5081968,1405459291.987863,1405558784.0,1405558784.0,1405558784
